BookTitle,BookAuthor,Type,Condition,Remarks
Children of Blood and Bone,"Adeyemi, Tomi",Kindle,N/A,N/A
Children of Virtue and Vengeance,"Adeyemi, Tomi",Kindle,N/A,N/A
The Pacific,"Ambrose, Hugh",Paperback,Like New,N/A
Frigid,"Armentrout, Jennifer L. ",Kindle,N/A,N/A
Red Queen,"Aveyard, Victoria",Hardcover,Like New,N/A
Glass Sword,"Aveyard, Victoria",Hardcover,Like New,N/A
King's Cage,"Aveyard, Victoria",Hardcover,Like New,N/A
War Storm,"Aveyard, Victoria",Hardcover,Like New,N/A
Glass Sword,"Aveyard, Victoria",Kindle,N/A,N/A
The Emerald City of Oz,"Baum, L. Frank",Paperback,Good,N/A
Frozen II: Forest of Shadows,"Benko, Kamilla",Hardcover,New,N/A
Lore,"Bracken, Alexandra",Hardcover,New,Signed Copy
I Thought it Was Just Me (But it Isn't),"Brown, Brené",Paperback,Like New,N/A
Daring Greatly,"Brown, Brené",Paperback,Like New,N/A
Dare to Lead,"Brown, Brené",Hardcover,Like New,N/A
The Davinci Code,"Brown, Dan",Paperback,Good,N/A
Blood Child,"Butler, Octavia",Paperback,Good,N/A
Conceal Don't Feel,"Calona, Jen",Hardcover,New,N/A
How to Win Friends & Influence People,"Carnegie, Dale",Paperback,Like New,N/A
The 5 Love Languages: The Secret to Love that Lasts,"Chapman, Gary",Kindle,N/A,N/A
Alexander Hamilton,"Chernow, Ron",Paperback,Good,N/A
The Warrior Heir,"Chima, Cinda Williams",Paperback,Acceptable,N/A
The Wizard Heir,"Chima, Cinda Williams",Paperback,Acceptable,N/A
The Dragon Heir,"Chima, Cinda Williams",Paperback,Acceptable,N/A
The Sorcerer Heir,"Chima, Cinda Williams",Paperback,Acceptable,N/A
The Enchanter Heir,"Chima, Cinda Williams",Hardcover,Acceptable,N/A
The Demon King,"Chima, Cinda Williams",Paperback,Good,N/A
The Exiled Queen,"Chima, Cinda Williams",Hardcover,Good,Missing dust jacket
The Gray Wolf Throne,"Chima, Cinda Williams",Hardcover,Like New,N/A
The Crimson Crown,"Chima, Cinda Williams",Hardcover,Like New,N/A
Flamecaster,"Chima, Cinda Williams",Hardcover,Like New,N/A
Shadowcaster,"Chima, Cinda Williams",Hardcover,Like New,N/A
Stormcaster,"Chima, Cinda Williams",Hardcover,Like New,N/A
Deathcaster,"Chima, Cinda Williams",Hardcover,Like New,N/A
Flamecaster,"Chima, Cinda Williams",Kindle,N/A,N/A
Shadowcaster,"Chima, Cinda Williams",Kindle,N/A,N/A
The Warrior Heir,"Chima, Cinda Williams",Kindle,N/A,N/A
The Wizard Heir,"Chima, Cinda Williams",Kindle,N/A,N/A
The Dragon Heir,"Chima, Cinda Williams",Kindle,N/A,N/A
The Sorcerer Heir,"Chima, Cinda Williams",Kindle,N/A,N/A
